Date,Adj Close,Close,High,Low,Open,Volume,Corrected_Adj_Close
2011-12-23,103.99442291259766,176.625244140625,176.72084045410156,173.89100646972656,175.05735778808594,3192706,116.2962319167962
2011-12-27,104.10704040527344,176.81643676757812,177.67686462402344,176.28106689453125,176.8355712890625,2902859,116.42217126699691
2011-12-28,103.56664276123047,175.89866638183594,177.2466583251953,175.27725219726562,177.04588317871094,3004112,115.81784838141554
2011-12-29,104.79939270019531,177.9923553466797,178.04014587402344,175.91778564453125,175.9751434326172,3076914,117.19642397020228
2011-12-30,103.5047607421875,175.7935028076172,178.27915954589844,175.7648162841797,178.13575744628906,3693321,115.748646154637
2012-01-03,104.866943359375,178.10707092285156,180.4110870361328,177.8202667236328,178.51815795898438,5905716,117.27196539738723
2012-01-04,104.43914031982422,177.3804931640625,178.13575744628906,176.806884765625,177.4091796875,4546648,116.7935562663118
2012-01-05,103.94377899169922,176.53919982910156,176.89292907714844,175.0478057861328,176.68260192871094,4668403,116.23959717615314
2012-01-06,102.75040435791016,174.51242065429688,176.3671112060547,174.29254150390625,176.28106689453125,5122367,114.90505471428095
2012-01-09,102.2156982421875,173.6042022705078,174.25430297851562,172.34225463867188,174.1873779296875,5440455,114.30709662480078
2012-01-10,102.0581283569336,173.33651733398438,175.64053344726562,173.23135375976562,175.17208862304688,5398406,114.13088733005819
2012-01-11,102.62660217285156,174.30210876464844,174.7705535888672,172.5621337890625,172.7820281982422,4299897,114.7666076012326
2012-01-12,101.63023376464844,172.6099395751953,173.91014099121094,170.53536987304688,173.86233520507812,7197526,113.65237581620363
2012-01-13,100.84789276123047,171.28106689453125,171.71128845214844,169.55067443847656,171.58700561523438,5522043,112.77748937303367
2012-01-17,101.32069396972656,172.08413696289062,173.9961700439453,171.4340362548828,172.4282989501953,6279556,113.30621964004054
2012-01-18,101.9229965209961,173.10707092285156,173.61376953125,171.6061248779297,171.92160034179688,4812228,113.97977034809524
2012-01-19,101.6134262084961,172.58126831054688,174.34034729003906,172.41873168945312,173.79541015625,8961291,113.63358004433911
2012-01-20,106.1165542602539,180.2294464111328,180.65965270996094,176.625244140625,177.6003875732422,13440786,118.66939648132632
2012-01-23,106.93836212158203,181.625244140625,182.14149475097656,179.4168243408203,179.64627075195312,6016278,119.58841843418995
2012-01-24,108.03598022460938,183.48948669433594,183.8432159423828,180.2294464111328,180.33460998535156,5591602,120.81587704101374
2012-01-25,107.92340850830078,183.29827880859375,183.78585815429688,181.27151489257812,182.91586303710938,4560246,120.68998888220258
2012-01-26,107.50125122070312,182.58126831054688,184.31166076660156,182.09368896484375,183.3556365966797,4188916,120.21789335583878
2012-01-27,107.20849609375,182.08413696289062,183.33651733398438,181.46270751953125,181.65391540527344,3514978,119.89050735584543
2012-01-30,108.35687255859375,184.034423828125,184.25430297851562,179.94264221191406,181.06118774414062,4559514,121.17472868178618
2012-01-31,108.41316986083984,184.13002014160156,184.6080322265625,182.6003875732422,184.5984649658203,5048833,121.23768555903915
2012-02-01,108.42436218261719,184.14913940429688,186.24282836914062,183.94837951660156,184.71319580078125,5322885,121.25020185378506
2012-02-02,107.81083679199219,183.10707092285156,184.82791137695312,182.91586303710938,184.24473571777344,4087036,120.56410072339142
2012-02-03,108.99854278564453,185.12428283691406,185.5927276611328,184.07266235351562,184.4455108642578,4729698,121.89230398485718
2012-02-06,108.5370101928711,184.34034729003906,185.23899841308594,183.55641174316406,184.01528930664062,3807231,121.3761753315788
2012-02-07,108.83527374267578,184.84703063964844,185.602294921875,183.52772521972656,183.9866180419922,3590918,121.70972136211513
2012-02-08,109.03309631347656,184.46463012695312,185.06692504882812,183.29827880859375,184.30210876464844,3978775,121.93094495207207
2012-02-09,109.1347885131836,184.63670349121094,185.90821838378906,184.08221435546875,184.54110717773438,4054714,122.04466662396594
2012-02-10,108.73358154296875,183.9579315185547,183.96749877929688,182.86807250976562,183.32696533203125,3547091,121.59599969022128
2012-02-13,108.8465805053711,184.14913940429688,185.17208862304688,183.30784606933594,184.8087921142578,2571905,121.72236563533494
2012-02-14,108.62054443359375,183.7667236328125,184.13002014160156,182.4378662109375,183.32696533203125,3554413,121.46959108561632
2012-02-15,108.6375732421875,183.79541015625,184.93307495117188,182.8489532470703,183.85276794433594,4205861,121.48863428253034
2012-02-16,109.07268524169922,184.53155517578125,184.75143432617188,183.55641174316406,184.1395721435547,3687673,121.97521697213789
2012-02-17,109.2986831665039,184.91395568847656,185.33460998535156,183.8432159423828,185.1912078857422,3918839,122.22794886236521
2012-02-21,109.28175354003906,184.88528442382812,185.69789123535156,183.9961700439453,185.2103271484375,3445106,122.20901658012855
2012-02-22,109.552978515625,185.3441619873047,186.1759033203125,184.27342224121094,184.54110717773438,3426487,122.51232556323507
2012-02-23,111.66638946533203,188.91969299316406,190.46844482421875,184.78012084960938,185.3441619873047,8402204,124.87573816805516
2012-02-24,111.75115966796875,189.06309509277344,189.82791137695312,187.9636688232422,189.6558380126953,3507447,124.97053608961063
2012-02-27,111.62120819091797,188.8432159423828,189.9713134765625,187.47610473632812,188.12619018554688,3931286,124.82521226656553
2012-02-28,111.87547302246094,189.27342224121094,190.2103271484375,188.7476043701172,189.0535430908203,3313100,125.10955483984235
2012-02-29,111.16914367675781,188.07839965820312,190.4110870361328,187.81069946289062,189.15870666503906,5352487,124.31967169902654
2012-03-01,111.62120819091797,188.8432159423828,189.7418670654297,188.26959228515625,188.55641174316406,3724074,124.82521226656553
2012-03-02,112.34449768066406,190.06692504882812,190.14340209960938,188.3938751220703,188.43212890625,3898860,125.63406181721103
2012-03-05,113.3898696899414,191.8355712890625,192.34225463867188,189.579345703125,189.63670349121094,7257148,126.80309398475737
2012-03-06,111.46857452392578,188.5850830078125,190.8604278564453,188.15487670898438,190.38241577148438,5454576,124.65452310999649
2012-03-07,111.75678253173828,189.07266235351562,189.8374786376953,188.6328887939453,189.3785858154297,3500857,124.97682409862749
2012-03-08,112.90959167480469,191.02294921875,191.1950225830078,189.91395568847656,190.47801208496094,3290507,126.26600245745671
2012-03-09,113.36727142333984,191.7973175048828,192.25621032714844,190.93690490722656,191.1854705810547,3324397,126.77782250211429
2012-03-12,113.58200073242188,192.16061401367188,192.70555114746094,191.42446899414062,192.09368896484375,3263206,127.01795277861311
2012-03-13,115.15296936035156,194.818359375,194.93307495117188,192.74378967285156,192.8489532470703,5089836,128.77475594911843
2012-03-14,115.68412017822266,195.71701049804688,196.12811279296875,194.68450927734375,194.818359375,4814006,129.36873817400993
2012-03-15,116.40745544433594,196.9407196044922,197.11280822753906,195.73614501953125,195.92733764648438,3787671,130.177638916045
2012-03-16,116.41309356689453,196.95028686523438,198.3938751220703,196.95028686523438,197.92543029785156,10080302,130.18394398885837
2012-03-19,116.24921417236328,196.67303466796875,197.44741821289062,195.50669860839844,196.66348266601562,3936307,130.00067881425562
2012-03-20,115.41854858398438,195.26768493652344,195.98471069335938,194.7418670654297,195.73614501953125,3865075,129.0717513275133
