Date,Adj Close,Close,High,Low,Open,Volume,Corrected_Adj_Close
2011-12-23,10.374289751052856,10.374289751052856,10.654289722442627,10.328569412231445,10.59000015258789,225561000,10.374289751052856
2011-12-27,10.085710287094116,10.085710287094116,10.355709791183472,10.02856969833374,10.328569412231445,219408000,10.085710287094116
2011-12-28,9.885709881782532,9.885709881782532,10.142860412597656,9.79570984840393,10.074290037155151,235970000,9.885709881782532
2011-12-29,9.900000095367432,9.900000095367432,9.98429000377655,9.658570289611816,9.854289889335632,261632000,9.900000095367432
2011-12-30,9.89857017993927,9.89857017993927,10.084290504455566,9.832860231399536,9.872859716415405,218092000,9.89857017993927
2012-01-03,10.31999945640564,10.31999945640564,10.388569831848145,10.01857042312622,10.03999948501587,292138000,10.31999945640564
2012-01-04,11.492860317230225,11.492860317230225,11.567139625549316,10.258569717407227,10.335710048675537,1004899000,11.492860317230225
2012-01-05,11.328569650650024,11.328569650650024,11.694289445877075,11.039999723434448,11.345709562301636,865529000,11.328569650650024
2012-01-06,12.32714056968689,12.32714056968689,12.47143030166626,11.242860555648804,11.302859783172607,1256108000,12.32714056968689
2012-01-09,14.025709629058838,14.025709629058838,14.23570990562439,12.448569536209106,12.801430225372314,2140733000,14.025709629058838
2012-01-10,13.6899995803833,13.6899995803833,14.26285982131958,13.214290142059326,14.257140159606934,1463350000,13.6899995803833
2012-01-11,13.164290189743042,13.164290189743042,13.657139539718628,13.064290285110474,13.569999933242798,871486000,13.164290189743042
2012-01-12,13.164290189743042,13.164290189743042,13.338570594787598,12.742860317230225,13.211430311203003,612430000,13.164290189743042
2012-01-13,13.482860326766968,13.482860326766968,13.792860507965088,12.885710000991821,13.067140579223633,888391000,13.482860326766968
2012-01-17,13.531429767608643,13.531429767608643,13.978569507598877,13.475710153579712,13.714289665222168,588322000,13.531429767608643
2012-01-18,14.077140092849731,14.077140092849731,14.131430387496948,13.17857027053833,13.311430215835571,660912000,14.077140092849731
2012-01-19,14.780000448226929,14.780000448226929,14.942859411239624,14.237140417098999,14.237140417098999,787899000,14.780000448226929
2012-01-20,14.320000410079956,14.320000410079956,14.967139959335327,14.241429567337036,14.657139778137207,538608000,14.320000410079956
2012-01-23,13.422859907150269,13.422859907150269,14.231430292129517,13.371429443359375,14.101430177688599,610869000,13.422859907150269
2012-01-24,13.238569498062134,13.238569498062134,13.52713942527771,13.068569898605347,13.157140016555786,419293000,13.238569498062134
2012-01-25,13.57714056968689,13.57714056968689,13.64285945892334,13.092859983444214,13.242859840393066,779534000,13.57714056968689
2012-01-26,16.57286047935486,16.57286047935486,17.052860260009766,16.008570194244385,16.271430253982544,1589441000,16.57286047935486
2012-01-27,17.684290409088135,17.684290409088135,17.712860107421875,16.3257098197937,16.54286026954651,1022287000,17.684290409088135
2012-01-30,17.918570041656494,17.918570041656494,18.497140407562256,17.60285973548889,17.82286047935486,1058260000,17.918570041656494
2012-01-31,17.171430587768555,17.171430587768555,17.9271399974823,16.82142972946167,17.85570979118347,842737000,17.171430587768555
2012-02-01,17.567139863967896,17.567139863967896,17.678569555282593,16.892859935760498,17.344290018081665,523068000,17.567139863967896
2012-02-02,17.71428942680359,17.71428942680359,17.964290380477905,17.464289665222168,17.642860412597656,411264000,17.71428942680359
2012-02-03,18.06143045425415,18.06143045425415,18.212859630584717,17.619999647140503,17.85714030265808,467880000,18.06143045425415
2012-02-06,18.464289903640747,18.464289903640747,18.657139539718628,17.407139539718628,17.60285973548889,816172000,18.464289903640747
2012-02-07,18.268569707870483,18.268569707870483,19.061429500579834,18.115710020065308,18.389999866485596,814352000,18.268569707870483
2012-02-08,17.71428942680359,17.71428942680359,18.198570013046265,17.63285994529724,17.981430292129517,510125000,17.71428942680359
2012-02-09,17.834290266036987,17.834290266036987,18.140000104904175,17.450000047683716,17.772860527038574,405146000,17.834290266036987
